ticker,open_time,close_time,result
KXBTC15M-26JUN252015-15,2026-06-26T00:00:00Z,2026-06-26T00:15:00Z,yes
KXBTC15M-26JUN222200-00,2026-06-23T01:45:00Z,2026-06-23T02:00:00Z,yes
KXBTC15M-26JUN262345-45,2026-06-27T03:30:00Z,2026-06-27T03:45:00Z,yes
KXBTC15M-26JUN232300-00,2026-06-24T02:45:00Z,2026-06-24T03:00:00Z,no
KXBTC15M-26JUN292030-30,2026-06-30T00:15:00Z,2026-06-30T00:30:00Z,no
KXBTC15M-26JUN231145-45,2026-06-23T15:30:00Z,2026-06-23T15:45:00Z,yes
KXBTC15M-26JUN230215-15,2026-06-23T06:00:00Z,2026-06-23T06:15:00Z,no
KXBTC15M-26JUN281715-15,2026-06-28T21:00:00Z,2026-06-28T21:15:00Z,yes
KXBTC15M-26JUN231715-15,2026-06-23T21:00:00Z,2026-06-23T21:15:00Z,yes
KXBTC15M-26JUN301130-30,2026-06-30T15:15:00Z,2026-06-30T15:30:00Z,no
KXBTC15M-26JUN281245-45,2026-06-28T16:30:00Z,2026-06-28T16:45:00Z,no
KXBTC15M-26JUN291945-45,2026-06-29T23:30:00Z,2026-06-29T23:45:00Z,yes
KXBTC15M-26JUN231030-30,2026-06-23T14:15:00Z,2026-06-23T14:30:00Z,no
KXBTC15M-26JUN261615-15,2026-06-26T20:00:00Z,2026-06-26T20:15:00Z,no
KXBTC15M-26JUN281730-30,2026-06-28T21:15:00Z,2026-06-28T21:30:00Z,yes
KXBTC15M-26JUN292045-45,2026-06-30T00:30:00Z,2026-06-30T00:45:00Z,no
KXBTC15M-26JUN251215-15,2026-06-25T16:00:00Z,2026-06-25T16:15:00Z,yes
KXBTC15M-26JUN251915-15,2026-06-25T23:00:00Z,2026-06-25T23:15:00Z,yes
KXBTC15M-26JUN251345-45,2026-06-25T17:30:00Z,2026-06-25T17:45:00Z,yes
KXBTC15M-26JUN261400-00,2026-06-26T17:45:00Z,2026-06-26T18:00:00Z,no
KXBTC15M-26JUN231345-45,2026-06-23T17:30:00Z,2026-06-23T17:45:00Z,no
KXBTC15M-26JUN301115-15,2026-06-30T15:00:00Z,2026-06-30T15:15:00Z,no
KXBTC15M-26JUN262145-45,2026-06-27T01:30:00Z,2026-06-27T01:45:00Z,no
KXBTC15M-26JUN281445-45,2026-06-28T18:30:00Z,2026-06-28T18:45:00Z,no
KXBTC15M-26JUN231245-45,2026-06-23T16:30:00Z,2026-06-23T16:45:00Z,yes
KXBTC15M-26JUN231700-00,2026-06-23T20:45:00Z,2026-06-23T21:00:00Z,no
KXBTC15M-26JUN271345-45,2026-06-27T17:30:00Z,2026-06-27T17:45:00Z,yes
KXBTC15M-26JUN261230-30,2026-06-26T16:15:00Z,2026-06-26T16:30:00Z,no
KXBTC15M-26JUN301400-00,2026-06-30T17:45:00Z,2026-06-30T18:00:00Z,yes
KXBTC15M-26JUN301315-15,2026-06-30T17:00:00Z,2026-06-30T17:15:00Z,no
KXBTC15M-26JUN281330-30,2026-06-28T17:15:00Z,2026-06-28T17:30:00Z,no
KXBTC15M-26JUN252045-45,2026-06-26T00:30:00Z,2026-06-26T00:45:00Z,yes
KXBTC15M-26JUN231645-45,2026-06-23T20:30:00Z,2026-06-23T20:45:00Z,no
KXBTC15M-26JUN291130-30,2026-06-29T15:15:00Z,2026-06-29T15:30:00Z,yes
KXBTC15M-26JUN271045-45,2026-06-27T14:30:00Z,2026-06-27T14:45:00Z,yes
KXBTC15M-26JUN291400-00,2026-06-29T17:45:00Z,2026-06-29T18:00:00Z,no
KXBTC15M-26JUN261845-45,2026-06-26T22:30:00Z,2026-06-26T22:45:00Z,yes
KXBTC15M-26JUN262245-45,2026-06-27T02:30:00Z,2026-06-27T02:45:00Z,no
KXBTC15M-26JUN282115-15,2026-06-29T01:00:00Z,2026-06-29T01:15:00Z,no
KXBTC15M-26JUN291545-45,2026-06-29T19:30:00Z,2026-06-29T19:45:00Z,no
KXBTC15M-26JUN261215-15,2026-06-26T16:00:00Z,2026-06-26T16:15:00Z,no
